
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_easy.csv, Elapsed Time: 0m8.698s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_easy.csv, Elapsed Time: 0m10.951s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_easy.csv, Elapsed Time: 0m8.957s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_easy.csv, Elapsed Time: 0m5.471s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_easy.csv, Elapsed Time: 0m0.136s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m12.932s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m45.385s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m21.210s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m24.732s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m0.670s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m32.203s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m33.466s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m30.739s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m8.063s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m1.173s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_3.csv, Elapsed Time: 2m22.245s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_3.csv, Elapsed Time: 2m48.780s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_3.csv, Elapsed Time: 3m12.481s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m9.844s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 1, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m1.195s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_easy.csv, Elapsed Time: 0m7.802s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_easy.csv, Elapsed Time: 0m9.807s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_easy.csv, Elapsed Time: 0m7.274s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_easy.csv, Elapsed Time: 0m4.826s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_easy.csv, Elapsed Time: 0m0.147s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m21.360s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m57.879s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m15.876s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m26.143s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m0.652s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m13.028s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_2.csv, Elapsed Time: 3m38.207s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m21.283s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m1.153s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m1.128s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_3.csv, Elapsed Time: 2m22.185s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_3.csv, Elapsed Time: 3m53.208s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_3.csv, Elapsed Time: 2m36.727s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m1.365s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 2, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m1.365s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_easy.csv, Elapsed Time: 0m10.098s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_easy.csv, Elapsed Time: 0m9.405s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_easy.csv, Elapsed Time: 0m3.740s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_easy.csv, Elapsed Time: 0m1.006s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_easy.csv, Elapsed Time: 0m0.137s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m13.069s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m6.895s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m49.660s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m2.865s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m0.583s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m10.146s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_2.csv, Elapsed Time: 1m49.855s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_2.csv, Elapsed Time: 1m26.379s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m2.115s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m1.254s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_3.csv, Elapsed Time: 2m19.447s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_3.csv, Elapsed Time: 1m57.826s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_3.csv, Elapsed Time: 1m33.700s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m1.970s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 4, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m1.273s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_easy.csv, Elapsed Time: 0m8.275s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_easy.csv, Elapsed Time: 0m16.734s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_easy.csv, Elapsed Time: 0m3.444s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_easy.csv, Elapsed Time: 0m2.624s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_easy.csv, Elapsed Time: 0m0.149s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m13.042s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m0.312s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m39.018s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m8.161s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m0.766s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m9.547s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m5.251s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_2.csv, Elapsed Time: 1m13.709s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m8.851s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m1.133s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_3.csv, Elapsed Time: 2m21.234s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_3.csv, Elapsed Time: 3m10.622s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_3.csv, Elapsed Time: 1m26.326s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m5.476s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 8, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m1.371s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 16, Input File: grids/4x4_easy.csv, Elapsed Time: 0m8.476s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 16, Input File: grids/4x4_easy.csv, Elapsed Time: 0m24.280s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 16, Input File: grids/4x4_easy.csv, Elapsed Time: 0m2.717s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 16, Input File: grids/4x4_easy.csv, Elapsed Time: 0m5.420s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 16, Input File: grids/4x4_easy.csv, Elapsed Time: 0m0.117s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 16, Input File: grids/4x4_hard_1.csv, Elapsed Time: 1m9.677s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 16, Input File: grids/4x4_hard_1.csv, Elapsed Time: 2m54.430s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 16, Input File: grids/4x4_hard_1.csv, Elapsed Time: 0m35.286s
